country,league,league_code,api_football_league_id,season,app_season,priority_group,enabled,cache_exists,cache_path,fixtures_in_cache,completed_fixtures,fixtures_with_statistics,statistics_coverage,first_fixture_date,last_fixture_date,active,starts_late_july_early_august,days_from_today,xg_fixtures,xg_coverage,saves_fixtures,saves_coverage,possession_fixtures,possession_coverage,passes_fixtures,passes_coverage,accurate_passes_fixtures,accurate_passes_coverage,priority_rank,priority_reason
Switzerland,Super League,SWZ,207,2025,2025-2026,central_europe,True,False,data/api_football/fixture_stats/switzerland/super-league/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Turkey,Süper Lig,T1,203,2025,2025-2026,southern_europe,True,False,data/api_football/fixture_stats/turkey/super-lig/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
USA,Major League Soccer,USA,253,2026,2026,americas,True,False,data/api_football/fixture_stats/usa/major-league-soccer/2026/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Argentina,Liga Profesional Argentina,ARG,128,2026,2026,americas,True,True,data/api_football/fixture_stats/argentina/liga-profesional-argentina/2026/fixture_stats.json,255,255,255,1.0,2026-01-22,2026-05-24,True,False,-169,15,0.0588,250,0.9804,253,0.9922,253,0.9922,253,0.9922,5,cache currently complete for known completed fixtures
Austria,2. Liga,AUT2,219,2025,2025-2026,central_europe,True,True,data/api_football/fixture_stats/austria/2-liga/2025/fixture_stats.json,222,222,222,1.0,2025-08-01,2026-05-14,True,True,-343,0,0.0,1,0.0045,1,0.0045,1,0.0045,1,0.0045,5,cache currently complete for known completed fixtures
Austria,Bundesliga,AUT,218,2025,2025-2026,central_europe,True,True,data/api_football/fixture_stats/austria/bundesliga/2025/fixture_stats.json,195,195,195,1.0,2025-08-01,2026-05-25,True,True,-343,139,0.7128,195,1.0,195,1.0,195,1.0,195,1.0,5,cache currently complete for known completed fixtures
Brazil,Serie A,BRA,71,2026,2026,americas,True,True,data/api_football/fixture_stats/brazil/serie-a/2026/fixture_stats.json,177,177,177,1.0,2026-01-28,2026-05-31,True,False,-163,177,1.0,177,1.0,177,1.0,177,1.0,177,1.0,5,cache currently complete for known completed fixtures
Brazil,Serie B,BRA2,72,2026,2026,americas,True,True,data/api_football/fixture_stats/brazil/serie-b/2026/fixture_stats.json,141,141,141,1.0,2026-03-21,2026-06-25,True,False,-111,134,0.9504,134,0.9504,136,0.9645,134,0.9504,134,0.9504,5,cache currently complete for known completed fixtures
Denmark,Superliga,DNK,119,2025,2025-2026,scandinavia,True,True,data/api_football/fixture_stats/denmark/superliga/2025/fixture_stats.json,193,193,193,1.0,2025-07-18,2026-05-21,True,False,-357,185,0.9585,191,0.9896,193,1.0,193,1.0,193,1.0,5,cache currently complete for known completed fixtures
Finland,Veikkausliiga,FIN,244,2026,2026,scandinavia,True,True,data/api_football/fixture_stats/finland/veikkausliiga/2026/fixture_stats.json,76,76,76,1.0,2026-04-04,2026-06-23,True,False,-97,33,0.4342,34,0.4474,34,0.4474,33,0.4342,33,0.4342,5,cache currently complete for known completed fixtures
Ireland,Premier Division,IRL,357,2026,2026,western_europe,True,True,data/api_football/fixture_stats/ireland/premier-division/2026/fixture_stats.json,108,108,108,1.0,2026-02-06,2026-06-22,True,False,-154,68,0.6296,101,0.9352,101,0.9352,101,0.9352,101,0.9352,5,cache currently complete for known completed fixtures
Japan,J1 League,JPN,98,2026,2026,asia,True,True,data/api_football/fixture_stats/japan/j1-league/2026/fixture_stats.json,200,200,200,1.0,2026-02-06,2026-06-06,True,False,-154,169,0.845,199,0.995,200,1.0,200,1.0,200,1.0,5,cache currently complete for known completed fixtures
Norway,Eliteserien,NOR,103,2026,2026,scandinavia,True,True,data/api_football/fixture_stats/norway/eliteserien/2026/fixture_stats.json,89,89,89,1.0,2026-03-14,2026-05-30,True,False,-118,89,1.0,89,1.0,89,1.0,89,1.0,89,1.0,5,cache currently complete for known completed fixtures
Poland,Ekstraklasa,POL,106,2025,2025-2026,central_europe,True,True,data/api_football/fixture_stats/poland/ekstraklasa/2025/fixture_stats.json,306,306,306,1.0,2025-07-18,2026-05-23,True,False,-357,238,0.7778,306,1.0,306,1.0,306,1.0,306,1.0,5,cache currently complete for known completed fixtures
Romania,Liga I,ROM,283,2025,2025-2026,central_europe,True,True,data/api_football/fixture_stats/romania/liga-i/2025/fixture_stats.json,321,321,321,1.0,2025-07-11,2026-06-01,True,False,-364,291,0.9065,319,0.9938,318,0.9907,317,0.9875,317,0.9875,5,cache currently complete for known completed fixtures
Sweden,Allsvenskan,SWE,113,2026,2026,scandinavia,True,True,data/api_football/fixture_stats/sweden/allsvenskan/2026/fixture_stats.json,81,81,81,1.0,2026-04-04,2026-05-31,True,False,-97,42,0.5185,81,1.0,81,1.0,81,1.0,81,1.0,5,cache currently complete for known completed fixtures
Sweden,Superettan,SWE2,114,2026,2026,scandinavia,True,True,data/api_football/fixture_stats/sweden/superettan/2026/fixture_stats.json,105,105,105,1.0,2026-04-03,2026-06-26,True,False,-98,26,0.2476,26,0.2476,59,0.5619,26,0.2476,26,0.2476,5,cache currently complete for known completed fixtures
