country,football_data_code,configured_display_name,requested_season,selected_api_season,api_football_league_id,api_football_league_name,api_football_country,available_seasons,discovery_status,discovery_source,coverage_fixtures_statistics,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_players_statistics,coverage_standings,coverage_odds,usable_for_enrichment,notes
Romania,ROM,Liga I,2025,2024,793,Liga III - Serie 10,Romania,"2024, 2023, 2022, 2020",FOUND,country,False,False,False,False,True,False,False,"fixture statistics not advertised for selected season; requested season 2025 not available, used latest available season 2024"
Romania,ROM,Liga I,2025,2025,785,Liga III - Serie 2,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,True,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2025,786,Liga III - Serie 3,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,True,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2025,787,Liga III - Serie 4,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,True,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2025,788,Liga III - Serie 5,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,False,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2025,789,Liga III - Serie 6,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,False,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2025,790,Liga III - Serie 7,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,False,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2025,791,Liga III - Serie 8,Romania,"2025, 2024, 2023, 2022, 2020",FOUND,country,False,True,False,False,True,False,False,fixture statistics not advertised for selected season
Romania,ROM,Liga I,2025,2024,792,Liga III - Serie 9,Romania,"2024, 2023, 2022, 2020",FOUND,country,False,False,False,False,True,False,False,"fixture statistics not advertised for selected season; requested season 2025 not available, used latest available season 2024"
Sweden,SWE,Allsvenskan,2026,2026,113,Allsvenskan,Sweden,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016",FOUND,country,True,True,True,True,True,True,True,fixture statistics available
Sweden,SWE,Allsvenskan,2026,2026,549,Damallsvenskan,Sweden,"2026, 2025, 2024, 2023, 2022, 2021, 2020",FOUND,country,True,True,True,True,True,True,True,fixture statistics available
Sweden,SWE,Allsvenskan,2026,2026,114,Superettan,Sweden,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016",FOUND,country,True,True,True,True,True,True,True,fixture statistics available
